,nitrogen_0-5cm_mean_1000_sorghum,NHx-deposition1993
PI586176.D1FY1ACXX.8.250123473,55,182.9199982
PI586178.D1FY1ACXX.8.250123474,57,182.9199982
PI586179.D1FY1ACXX.8.250123475,57,182.9199982
PI586181.D1FY1ACXX.8.250123476,55,197.6799927
PI586182.D1FY1ACXX.8.250123477,55,197.6799927
PI586183.D1FY1ACXX.8.250123478,68,197.6799927
PI586184.D1FY1ACXX.8.250123479,89,197.6799927
PI586185.D1FY1ACXX.8.250123480,89,197.6799927
PI586201.D1FY1ACXX.8.250123481,87,182.9199982
PI586205.D1FY1ACXX.8.250123482,121,270.0799866
PI586239.D1FY1ACXX.8.250123483,84,182.9199982
PI586259.D1FY1ACXX.8.250123484,78,182.9199982
PI586272.D1FY1ACXX.8.250123485,128,182.9199982
PI586356.D1FY1ACXX.8.250123486,108,270.0799866
PI586357.D1FY1ACXX.8.250123487,108,270.0799866
PI586359.D1FY1ACXX.8.250123488,84,182.9199982
PI586360.D1FY1ACXX.8.250123489,84,182.9199982
PI586361.D1FY1ACXX.8.250123490,84,182.9199982
PI586362.D1FY1ACXX.8.250123491,84,182.9199982
PI586363.D1FY1ACXX.8.250123492,73,182.9199982
PI586364.D1FY1ACXX.8.250123493,73,182.9199982
PI586365.D1FY1ACXX.8.250123494,71,182.9199982
PI586366.D1FY1ACXX.8.250123495,60,182.9199982
PI586367.D1FY1ACXX.8.250123496,60,182.9199982
PI586368.D1FY1ACXX.8.250123497,109,182.9199982
PI586369.D1FY1ACXX.8.250123498,109,182.9199982
PI586370.D1FY1ACXX.8.250123499,74,182.9199982
PI586371.D1FY1ACXX.8.250123500,87,182.9199982
PI586374.D1FY1ACXX.8.250123501,79,270.0799866
PI586377.D1FY1ACXX.8.250123503,NA,111.1900024
PI586378.D1FY1ACXX.8.250123504,NA,111.1900024
PI586387.D1FY1ACXX.8.250123505,394,206.8800049
PI586388.D1FY1ACXX.8.250123506,394,206.8800049
PI586394.D1FY1ACXX.8.250123507,128,206.8800049
PI586403.D1FY1ACXX.8.250123508,NA,584.5900269
PI586404.D1FY1ACXX.8.250123509,NA,584.5900269
PI586405.D1FY1ACXX.8.250123510,NA,584.5900269
PI586464.D1FY1ACXX.8.250123511,164,228.8999939
PI586465.D1FY1ACXX.8.250123512,164,228.8999939
PI586466.D1FY1ACXX.8.250123513,NA,260.1199951
PI586467.D1FY1ACXX.8.250123514,NA,260.1199951
PI586470.D1FY1ACXX.8.250123515,204,260.1199951
PI586471.D1FY1ACXX.8.250123516,204,260.1199951
PI586472.D1FY1ACXX.8.250123517,162,239.5099945
PI586473.D1FY1ACXX.8.250123518,162,239.5099945
PI586476.D1FY1ACXX.8.250123519,149,228.8999939
PI586477.D1FY1ACXX.8.250123520,149,228.8999939
PI586479.D1FY1ACXX.8.250123521,126,228.8999939
PI586480.D1FY1ACXX.8.250123522,126,228.8999939
PI586481.D1FY1ACXX.8.250123523,185,228.8999939
PI586482.D1FY1ACXX.8.250123524,185,228.8999939
PI586483.D1FY1ACXX.8.250123525,185,228.8999939
PI586493.D1FY1ACXX.8.250123526,119,164.4100037
PI586498.D1FY1ACXX.8.250123527,120,164.4100037
PI586499.D1FY1ACXX.8.250123559,110,164.4100037
PI586500.D1FY1ACXX.8.250123560,110,164.4100037
PI586501.D1FY1ACXX.8.250123561,110,164.4100037
PI586503.D1FY1ACXX.8.250123562,156,164.4100037
PI586510.D1FY1ACXX.8.250123563,134,164.4100037
PI586511.D1FY1ACXX.8.250123564,134,164.4100037
PI597946.C00TDABXX.2.250020297,187,449.5
PI597952.C00TDABXX.2.250020271,128,307.5400085
PI597953.D1FY1ACXX.8.250123565,100,174.8500061
PI597954.D1FY1ACXX.8.250123566,130,523.9000244
PI597957.C00TDABXX.2.250020230,175,107.3399963
PI597964.C00TDABXX.2.250020251,257,318.8699951
PI608862.D1FY1ACXX.8.250123567,99,157.3500061
PI608863.D1FY1ACXX.8.250123568,99,157.3500061
PI608864.D1FY1ACXX.8.250123569,99,157.3500061
PI608865.D1FY1ACXX.8.250123570,99,157.3500061
PI609094.D1FY1ACXX.8.250123571,68,157.3500061
PI609200.D1FY1ACXX.8.250123572,79,157.3500061
PI609918.D1FY1ACXX.8.250123573,182,273.2399902
PI609919.D1FY1ACXX.8.250123574,182,273.2399902
PI610034.D1FY1ACXX.8.250123575,167,157.3500061
PI612776.D1FY1ACXX.8.250123576,69,99.94999695
PI612777.D1FY1ACXX.8.250123577,69,99.94999695
PI619639.D1FY1ACXX.8.250123578,87,223.75
PI619640.D1FY1ACXX.8.250123579,217,223.75
PI619641.D1FY1ACXX.8.250123580,80,223.75
PI619642.D1FY1ACXX.8.250123581,92,223.75
PI619643.D1FY1ACXX.8.250123582,81,490.5
PI619688.D1FY1ACXX.8.250123583,213,419.1900024
PI619689.D1FY1ACXX.8.250123584,213,419.1900024
PI619695.D1FY1ACXX.8.250123585,250,419.1900024
PI619696.D1FY1ACXX.8.250123586,263,419.1900024
PI619697.D1FY1ACXX.8.250123587,263,419.1900024
PI619698.D1FY1ACXX.8.250123588,257,419.1900024
PI619701.D1FY1ACXX.8.250123589,260,419.1900024
PI619702.D1FY1ACXX.8.250123590,260,419.1900024
PI619713.D1FY1ACXX.8.250123591,228,419.1900024
PI619716.D1FY1ACXX.8.250123592,317,419.1900024
PI619719.D1FY1ACXX.8.250123593,284,419.1900024
PI619720.D1FY1ACXX.8.250123594,284,419.1900024
PI619721.D1FY1ACXX.8.250123595,284,419.1900024
PI619733.D1FY1ACXX.8.250123596,265,419.1900024
PI619734.D1FY1ACXX.8.250123597,265,419.1900024
PI619735.D1FY1ACXX.8.250123598,265,419.1900024
PI619765.D1FY1ACXX.8.250123599,302,419.1900024
PI619773.D1FY1ACXX.8.250123600,289,419.1900024
PI619807.D1EYBACXX.8.250140364,248,419.1900024
PI619813.D1FY1ACXX.8.250123602,264,419.1900024
PI619816.D1FY1ACXX.8.250123603,207,419.1900024
PI619829.D1FY1ACXX.8.250123604,301,419.1900024
PI619830.D1FY1ACXX.8.250123605,301,419.1900024
PI619838.D1FY1ACXX.8.250123607,286,419.1900024
PI619860.D1FY1ACXX.8.250123608,321,419.1900024
PI619863.D1FY1ACXX.8.250123609,288,419.1900024
PI619879.D1FY1ACXX.8.250123610,249,419.1900024
PI619890.D1FY1ACXX.8.250123611,255,419.1900024
PI619896.D1FY1ACXX.8.250123612,289,419.1900024
PI619897.D1FY1ACXX.8.250123613,426,419.1900024
PI619901.D1FY1ACXX.8.250123614,230,419.1900024
PI619902.D1FY1ACXX.8.250123615,230,419.1900024
PI619903.D1FY1ACXX.8.250123616,238,419.1900024
PI619904.D1FY1ACXX.8.250123617,230,419.1900024
PI619920.D1FY1ACXX.8.250123619,291,419.1900024
PI619921.D1FY1ACXX.8.250123620,278,419.1900024
PI619928.D1FY1ACXX.8.250123621,283,419.1900024
PI619930.D1FY1ACXX.8.250123622,NA,419.1900024
PI619932.D1FY1ACXX.8.250123623,NA,419.1900024
PI619933.D1FY1ACXX.8.250123624,304,419.1900024
PI619935.D1FY1ACXX.8.250123625,272,419.1900024
PI619938.D1FY1ACXX.8.250123626,NA,419.1900024
PI619939.D1FY1ACXX.8.250123627,NA,419.1900024
PI619941.D1FY1ACXX.8.250123628,243,419.1900024
PI619950.D1FY1ACXX.8.250123629,268,419.1900024
PI619955.D1FY1ACXX.8.250123630,240,419.1900024
PI619956.D1FY1ACXX.8.250123631,240,419.1900024
PI619958.D1FY1ACXX.8.250123632,397,419.1900024
PI619959.D1FY1ACXX.8.250123633,397,419.1900024
PI619960.D1FY1ACXX.8.250123634,397,419.1900024
PI619962.D1FY1ACXX.8.250123635,238,419.1900024
PI619970.D1FY1ACXX.8.250123636,353,490.5
PI619972.D1FY1ACXX.8.250123637,353,490.5
PI619978.D1FY1ACXX.8.250123638,409,490.5
PI619981.D1FY1ACXX.8.250123639,409,490.5
PI619982.D1FY1ACXX.8.250123640,398,490.5
PI619983.D1FY1ACXX.8.250123641,398,490.5
PI619986.D1FY1ACXX.8.250123642,NA,419.1900024
PI619987.D1FY1ACXX.8.250123643,328,191.9499969
PI619988.D1FY1ACXX.8.250123644,328,191.9499969
PI619989.D1FY1ACXX.8.250123645,328,191.9499969
PI619994.D1FY1ACXX.8.250123646,356,191.9499969
PI620007.D1FY1ACXX.8.250123647,400,490.5
PI620020.D1FY1ACXX.8.250123648,398,191.9499969
PI620024.D1FY1ACXX.8.250123649,427,191.9499969
PI620026.D1FY1ACXX.8.250123650,427,191.9499969
PI620050.D1FY1ACXX.8.250123651,275,490.5
PI620055.D1FY1ACXX.8.250123652,377,419.1900024
PI620072.D1FY1ACXX.8.250123654,405,191.9499969
PI620083.D1FY1ACXX.8.250123687,412,419.1900024
PI620086.D1FY1ACXX.8.250123688,407,419.1900024
PI620090.D1FY1ACXX.8.250123689,367,419.1900024
PI620092.D1FY1ACXX.8.250123690,424,419.1900024
PI620094.D1FY1ACXX.8.250123692,328,419.1900024
PI620097.D1FY1ACXX.8.250123694,375,419.1900024
PI620102.D1FY1ACXX.8.250123695,386,419.1900024
PI620105.D1FY1ACXX.8.250123696,375,419.1900024
PI620106.D1FY1ACXX.8.250123697,375,419.1900024
PI620110.D1FY1ACXX.8.250123698,443,419.1900024
PI620111.D1FY1ACXX.8.250123699,495,419.1900024
PI620112.D1FY1ACXX.8.250123700,495,419.1900024
PI620119.D1FY1ACXX.8.250123702,394,419.1900024
PI620120.D1FY1ACXX.8.250123703,394,419.1900024
PI620121.D1FY1ACXX.8.250123704,342,419.1900024
PI620122.D1FY1ACXX.8.250123705,342,419.1900024
PI620129.D1FY1ACXX.8.250123706,361,419.1900024
PI620140.D1FY1ACXX.8.250123707,434,419.1900024
PI620150.D1FY1ACXX.8.250123708,434,419.1900024
PI620156.D1FY1ACXX.8.250123709,445,419.1900024
PI620157.D1FY1ACXX.8.250123710,445,419.1900024
PI620173.D1FY1ACXX.8.250123712,386,419.1900024
PI620180.D1FY1ACXX.8.250123713,181,490.5
PI620181.D1FY1ACXX.8.250123714,181,490.5
PI620367.D1FY1ACXX.8.250123715,129,308.7999878
PI620368.D1FY1ACXX.8.250123716,134,308.7999878
PI620369.D1FY1ACXX.8.250123717,NA,308.7999878
PI620370.D1FY1ACXX.8.250123718,116,308.7999878
PI620371.D1FY1ACXX.8.250123719,NA,308.7999878
PI620372.D1FY1ACXX.8.250123720,118,308.7999878
PI620373.D1FY1ACXX.8.250123721,NA,308.7999878
PI620375.D1FY1ACXX.8.250123722,115,308.7999878
PI620376.D1FY1ACXX.8.250123723,118,308.7999878
PI620377.D1FY1ACXX.8.250123724,118,308.7999878
PI620382.D1FY1ACXX.8.250123725,93,308.7999878
PI620383.D1FY1ACXX.8.250123726,93,308.7999878
PI620385.D1FY1ACXX.8.250123727,119,308.7999878
PI620386.D1FY1ACXX.8.250123728,119,308.7999878
PI620396.D1FY1ACXX.8.250123729,91,308.7999878
PI620405.D1FY1ACXX.8.250123730,129,308.7999878
PI620406.D1FY1ACXX.8.250123731,129,308.7999878
PI620409.D1FY1ACXX.8.250123732,129,308.7999878
PI620411.D1FY1ACXX.8.250123733,NA,308.7999878
PI620414.D1FY1ACXX.8.250123734,NA,449.5
PI620415.D1FY1ACXX.8.250123735,NA,449.5
PI620416.D1EYBACXX.8.250140376,182,308.7999878
PI620417.D1FY1ACXX.8.250123737,150,308.7999878
PI620418.D1FY1ACXX.8.250123738,160,308.7999878
PI620423.D1FY1ACXX.8.250123739,100,223.75
PI620424.D1FY1ACXX.8.250123740,100,223.75
PI620430.D1FY1ACXX.8.250123741,114,223.75
PI620431.D1FY1ACXX.8.250123742,114,223.75
PI620434.D1FY1ACXX.8.250123743,83,223.75
PI620435.D1FY1ACXX.8.250123744,83,223.75
PI620446.D1FY1ACXX.8.250123745,119,223.75
PI620447.D1FY1ACXX.8.250123746,125,223.75
PI620448.D1FY1ACXX.8.250123747,125,223.75
PI620449.D1FY1ACXX.8.250123748,107,223.75
PI620453.D1FY1ACXX.8.250123750,117,223.75
PI620454.D1FY1ACXX.8.250123751,116,223.75
PI620459.D1FY1ACXX.8.250123752,78,308.7999878
PI620460.D1FY1ACXX.8.250123753,78,308.7999878
PI620461.D1FY1ACXX.8.250123754,120,223.75
PI620463.D1FY1ACXX.8.250123755,105,223.75
PI620466.D1FY1ACXX.8.250123756,121,308.7999878
PI620467.D1FY1ACXX.8.250123757,121,308.7999878
PI620469.D1FY1ACXX.8.250123758,84,223.75
PI620472.D1FY1ACXX.8.250123759,89,308.7999878
PI620473.D1FY1ACXX.8.250123760,89,308.7999878
PI620475.D1FY1ACXX.8.250123761,126,308.7999878
PI620476.D1FY1ACXX.8.250123762,126,308.7999878
PI620477.D1FY1ACXX.8.250123763,95,308.7999878
PI620478.D1FY1ACXX.8.250123764,95,308.7999878
PI620479.D1FY1ACXX.8.250123765,108,308.7999878
PI620480.D1FY1ACXX.8.250123766,125,308.7999878
PI620483.D1FY1ACXX.8.250123767,131,308.7999878
PI620484.D1FY1ACXX.8.250123768,131,308.7999878
PI620493.D1FY1ACXX.8.250123769,98,308.7999878
PI620494.D1FY1ACXX.8.250123770,98,308.7999878
PI620495.D1FY1ACXX.8.250123771,95,223.75
PI620496.D1FY1ACXX.8.250123772,95,223.75
PI620500.D1FY1ACXX.8.250123773,107,223.75
PI620501.D1FY1ACXX.8.250123774,107,223.75
PI620514.D1FY1ACXX.8.250123775,108,223.75
PI620515.D1FY1ACXX.8.250123776,124,223.75
PI620516.D1FY1ACXX.8.250123777,92,223.75
PI620517.D1FY1ACXX.8.250123778,92,223.75
PI620519.D1FY1ACXX.8.250123779,89,223.75
PI620520.D1FY1ACXX.8.250123780,74,223.75
PI620521.D1FY1ACXX.8.250123781,81,223.75
PI620522.D1G0BACXX.7.250129751,93,490.5
PI620523.D1G0BACXX.7.250129763,100,490.5
PI620524.D1G0BACXX.7.250129775,100,490.5
PI620525.D1G0BACXX.7.250129787,100,490.5
PI620527.D1G0BACXX.7.250129799,99,490.5
PI620529.D1G0BACXX.7.250129811,125,490.5
PI620535.D1G0BACXX.7.250129823,120,490.5
PI620536.D1G0BACXX.7.250129835,NA,490.5
PI620537.D1G0BACXX.7.250129752,89,490.5
PI620538.D1G0BACXX.7.250129764,89,490.5
PI620539.D1G0BACXX.7.250129776,89,490.5
PI620544.D1G0BACXX.7.250129788,85,223.75
PI620545.D1G0BACXX.7.250129800,85,223.75
PI620547.D1G0BACXX.7.250129812,121,223.75
PI620548.D1G0BACXX.7.250129824,121,223.75
PI620557.D1G0BACXX.7.250129836,230,490.5
PI620560.D1G0BACXX.7.250129753,278,308.7999878
PI620564.D1G0BACXX.7.250129765,85,223.75
PI620565.D1G0BACXX.7.250129777,85,223.75
PI620567.D1G0BACXX.7.250129789,NA,308.7999878
PI620570.D1G0BACXX.7.250129801,84,308.7999878
PI620572.D1G0BACXX.7.250129813,157,308.7999878
PI620578.D1G0BACXX.7.250129825,120,490.5
PI620579.D1G0BACXX.7.250129837,122,490.5
PI620610.D1G0BACXX.7.250129754,273,419.1900024
PI620611.D1G0BACXX.7.250129766,269,419.1900024
PI620615.D1G0BACXX.7.250129778,289,419.1900024
PI620617.D1G0BACXX.7.250129790,238,419.1900024
PI620624.D1G0BACXX.7.250129802,352,419.1900024
PI646200.D1G0BACXX.7.250129814,78,174.8500061
PI646201.D1G0BACXX.7.250129826,78,174.8500061
PI646202.D1G0BACXX.7.250129838,96,523.9000244
PI646203.D1G0BACXX.7.250129755,96,523.9000244
PI646205.D1G0BACXX.7.250129767,113,174.8500061
PI646206.D1G0BACXX.7.250129779,113,174.8500061
PI646207.D1G0BACXX.7.250129791,113,174.8500061
PI646208.D1G0BACXX.7.250129803,113,174.8500061
PI646209.D1G0BACXX.7.250129815,112,174.8500061
PI646210.D1G0BACXX.7.250129827,93,206.8800049
PI646211.D1G0BACXX.7.250129839,95,523.9000244
PI646212.D1G0BACXX.7.250129756,108,584.5900269
PI646213.D1G0BACXX.7.250129768,102,523.9000244
PI646214.D1G0BACXX.7.250129780,NA,523.9000244
PI646215.D1G0BACXX.7.250129792,NA,523.9000244
PI646216.D1G0BACXX.7.250129804,NA,523.9000244
PI646217.D1G0BACXX.7.250129816,131,523.9000244
PI646223.D1G0BACXX.7.250129828,131,523.9000244
PI646230.D1G0BACXX.7.250129840,250,419.1900024
PI646231.D1G0BACXX.7.250129757,281,419.1900024
PI646233.D1G0BACXX.7.250129769,266,419.1900024
PI646234.D1G0BACXX.7.250129781,263,419.1900024
PI646236.D1G0BACXX.7.250129793,331,419.1900024
PI646237.D1G0BACXX.7.250129805,265,419.1900024
PI646239.D1G0BACXX.7.250129817,274,419.1900024
PI646240.D1G0BACXX.7.250129829,283,419.1900024
PI646241.D1G0BACXX.7.250129841,NA,419.1900024
PI646242.D1G0BACXX.7.250129758,273,419.1900024
PI646243.D1G0BACXX.7.250129770,273,419.1900024
PI646245.D1G0BACXX.7.250129794,246,419.1900024
PI646246.D1G0BACXX.7.250129806,366,419.1900024
PI646247.D1G0BACXX.7.250129818,259,419.1900024
PI646248.D1G0BACXX.7.250129830,240,419.1900024
PI646249.D1G0BACXX.7.250129842,264,419.1900024
PI646250.D1G0BACXX.7.250129759,258,419.1900024
PI646251.D1G0BACXX.7.250129771,NA,419.1900024
PI646252.D1G0BACXX.7.250129783,NA,419.1900024
PI646254.D1G0BACXX.7.250129795,286,419.1900024
PI646255.D1G0BACXX.7.250129807,251,419.1900024
PI646256.D1G0BACXX.7.250129819,251,419.1900024
PI646259.D1G0BACXX.7.250129831,316,419.1900024
PI646260.D1G0BACXX.7.250129843,316,419.1900024
PI646261.D1G0BACXX.7.250129760,343,419.1900024
PI646262.D1G0BACXX.7.250129772,343,419.1900024
PI646263.D1G0BACXX.7.250129784,340,419.1900024
PI646264.D1G0BACXX.7.250129796,340,419.1900024
PI646266.D1G0BACXX.7.250129808,NA,419.1900024
PI646267.D1G0BACXX.7.250129820,NA,419.1900024
PI646271.D1G0BACXX.7.250129832,316,419.1900024
PI646279.D1G0BACXX.7.250129844,249,419.1900024
PI646280.D1G0BACXX.7.250129761,255,419.1900024
PI646281.D1G0BACXX.7.250129773,255,419.1900024
PI646283.D1G0BACXX.7.250129785,212,419.1900024
PI646289.D1G0BACXX.7.250129797,259,419.1900024
PI646290.D1G0BACXX.7.250129809,305,419.1900024
PI646291.D1G0BACXX.7.250129821,276,419.1900024
PI646292.D1G0BACXX.7.250129833,NA,419.1900024
PI646293.D1G0BACXX.7.250129845,285,419.1900024
PI646294.D1G0BACXX.7.250129762,283,419.1900024
PI646295.D1G0BACXX.7.250129774,279,419.1900024
PI646296.D1G0BACXX.7.250129786,238,419.1900024
PI646297.D1G0BACXX.7.250129798,321,490.5
PI646303.D1G0BACXX.7.250129810,398,191.9499969
PI646304.D1G0BACXX.7.250129822,453,191.9499969
PI646306.D1G0BACXX.7.250129834,275,490.5
PI646307.D1G0BACXX.7.250129846,243,490.5
PI646312.D1G0BACXX.7.250129878,434,419.1900024
PI646313.D1G0BACXX.7.250129890,451,419.1900024
PI646315.D1G0BACXX.7.250129902,356,419.1900024
PI646316.D1G0BACXX.7.250129914,348,419.1900024
PI646317.D1G0BACXX.7.250129926,348,419.1900024
PI646319.D1G0BACXX.7.250129938,317,419.1900024
PI646320.D1G0BACXX.7.250129950,343,419.1900024
PI646321.D1G0BACXX.7.250129962,294,490.5
PI646322.D1G0BACXX.7.250129879,282,490.5
PI646323.D1G0BACXX.7.250129891,282,490.5
PI646324.D1G0BACXX.7.250129903,270,490.5
PI646325.D1G0BACXX.7.250129915,270,490.5
PI646387.D1G0BACXX.7.250129927,109,223.75
PI646388.D1G0BACXX.7.250129939,120,223.75
PI646389.D1G0BACXX.7.250129951,124,308.7999878
PI646390.D1G0BACXX.7.250129963,NA,490.5
PI646391.D1G0BACXX.7.250129880,230,490.5
PI646392.D1G0BACXX.7.250129892,278,308.7999878
PI647018.D1G0BACXX.7.250129904,100,174.8500061
PI647019.D1EYBACXX.8.250140216,106,523.9000244
PI647020.D1G0BACXX.7.250129928,106,523.9000244
PI647021.D1G0BACXX.7.250129940,106,523.9000244
PI647022.D1G0BACXX.7.250129952,120,523.9000244
PI647023.D1G0BACXX.7.250129964,183,523.9000244
PI647024.D1G0BACXX.7.250129881,119,174.8500061
PI647025.D1G0BACXX.7.250129893,97,174.8500061
PI647026.D1G0BACXX.7.250129905,NA,174.8500061
PI647027.D1G0BACXX.7.250129917,114,523.9000244
PI647028.D1G0BACXX.7.250129929,91,174.8500061
PI647029.D1G0BACXX.7.250129941,61,174.8500061
PI658758.D1G0BACXX.7.250129953,93,523.9000244
PI659693.D1G0BACXX.7.250129965,265,318.8699951