,rice_ph,rice_cec
IRIS_313-7883,54,250
IRIS_313-7885,53,190
IRIS_313-8291,54,202
IRIS_313-8314,54,207
IRIS_313-8324,49,222
IRIS_313-8368,54,207
IRIS_313-8436,46,196
IRIS_313-8457,49,266
IRIS_313-8493,51,259
IRIS_313-8536,47,184
IRIS_313-8608,NA,NA
IRIS_313-8643,46,175
IRIS_313-8664,50,198
IRIS_313-8713,NA,NA
IRIS_313-8725,53,251
IRIS_313-8744,54,207
IRIS_313-8767,54,202
IRIS_313-8812,59,172
IRIS_313-8831,51,231
IRIS_313-8833,48,151
IRIS_313-8865,48,253
IRIS_313-8922,48,248
IRIS_313-8956,49,222
IRIS_313-8978,51,247
IRIS_313-8998,47,208
IRIS_313-9005,49,222
IRIS_313-9054,47,200
IRIS_313-9097,55,239
IRIS_313-9098,52,304
IRIS_313-9117,49,204
IRIS_313-9129,49,222
IRIS_313-9188,48,265
IRIS_313-9208,47,199
IRIS_313-9239,54,232
IRIS_313-9242,46,175
IRIS_313-9251,47,184
IRIS_313-9273,49,222
IRIS_313-9301,60,155
IRIS_313-9310,52,304
IRIS_313-9314,53,177
IRIS_313-9320,49,222
IRIS_313-9405,53,190
IRIS_313-9470,50,198
IRIS_313-9590,53,141
IRIS_313-9691,NA,NA
IRGC_12731,57,184
IRGC_14779,57,184
IRGC_40252,57,184
IRGC_410,57,184
IRGC_8191,57,184
IRGC_8257,57,184
IRIS_313-10071,57,184
IRIS_313-10073,57,184
IRIS_313-10074,57,184
IRIS_313-10075,57,184
IRIS_313-10076,57,184
IRIS_313-10077,57,184
IRIS_313-10078,57,184
IRIS_313-10079,57,184
IRIS_313-10080,57,184
IRIS_313-10082,57,184
IRIS_313-10469,57,184
IRIS_313-10569,57,184
IRIS_313-10642,57,184
IRIS_313-11725,57,184
IRIS_313-8755,57,184
IRIS_313-9002,57,184
IRIS_313-9081,57,184
IRIS_313-9800,57,184
IRIS_313-9884,57,184
IRIS_313-10651,NA,NA
IRIS_313-10652,NA,NA
IRIS_313-10653,55,202
IRIS_313-10654,NA,NA
IRIS_313-10655,58,163
IRIS_313-10656,58,163
IRIS_313-10657,56,151
IRIS_313-10659,57,151
IRIS_313-10660,57,151
IRIS_313-10679,54,188
IRIS_313-10680,54,229
IRIS_313-10681,53,110
IRIS_313-10682,56,164
IRIS_313-10683,57,144
IRIS_313-10921,NA,NA
IRIS_313-11071,53,178
IRIS_313-11072,54,169
IRIS_313-11073,56,205
IRIS_313-11074,NA,NA
IRIS_313-11075,NA,NA
IRIS_313-11076,54,168
IRIS_313-11077,54,169
IRIS_313-11078,55,174
IRIS_313-11079,54,169
IRIS_313-11080,NA,NA
IRIS_313-11081,54,169
IRIS_313-11082,54,169
IRIS_313-11083,57,151
IRIS_313-11085,56,199
IRIS_313-11086,NA,NA
IRIS_313-11090,NA,NA
IRIS_313-11091,57,151
IRIS_313-11092,53,178
IRIS_313-11093,54,178
IRIS_313-11094,NA,NA
IRIS_313-11095,57,151
IRIS_313-11991,53,202
IRIS_313-11992,52,194
IRIS_313-12028,53,202
IRIS_313-12029,NA,NA
IRIS_313-12049,57,146
IRIS_313-12071,54,169
IRIS_313-12076,57,162
IRIS_313-12077,56,205
IRIS_313-12121,60,196
IRIS_313-12127,58,144
IRIS_313-12128,58,144
IRIS_313-12129,NA,NA
IRIS_313-12130,56,191
IRIS_313-12131,56,129
IRIS_313-12133,55,159
IRIS_313-12134,60,196
IRIS_313-12190,51,191
IRIS_313-12193,NA,NA
IRIS_313-12194,60,196
IRIS_313-12207,51,191
IRIS_313-12220,56,127
IRIS_313-12221,56,127
IRIS_313-12222,58,144
IRIS_313-12224,56,127
IRIS_313-12225,55,159
IRIS_313-12226,52,194
IRIS_313-12227,58,144
IRIS_313-12228,58,178
IRIS_313-12229,52,194
IRIS_313-12231,56,127
IRIS_313-12242,51,225
IRIS_313-12252,55,186
IRIS_313-12254,52,186
IRIS_313-12257,54,192
IRIS_313-12258,51,191
IRIS_313-12259,58,195
IRIS_313-12260,55,159
IRIS_313-12261,58,171
IRIS_313-12262,54,192
IRIS_313-12263,58,172
IRIS_313-12265,52,186
IRIS_313-12297,58,171
IRIS_313-12299,55,138
IRIS_313-12300,52,211
IRIS_313-12301,51,225
IRIS_313-12302,52,223
IRIS_313-12303,NA,NA
IRIS_313-12305,57,148
IRIS_313-12307,54,197
IRIS_313-12308,55,159
IRIS_313-12309,54,151
IRIS_313-12311,51,191
IRIS_313-12312,53,204
IRIS_313-12313,58,171
IRIS_313-12321,56,157
IRIS_313-12329,56,149
IRIS_313-12332,51,173
IRIS_313-12334,59,159
IRIS_313-12336,54,201
IRIS_313-12337,52,191
IRIS_313-12341,52,205
IRIS_313-12342,55,178
IRIS_313-12344,51,203
IRIS_313-12346,57,158
IRIS_313-12347,56,168
IRIS_313-12348,52,194
IRIS_313-12349,54,188
IRIS_313-12350,54,213
IRIS_313-12352,54,197
IRIS_313-12353,55,213
IRIS_313-12354,52,207
IRIS_313-12355,56,209
IRIS_313-8638,NA,NA
IRIS_313-9198,53,178
IRGC_31,49,177
IRGC_44076,50,204
IRGC_71494,54,245
IRGC_71524,52,248
IRGC_71528,51,282
IRGC_71589,53,246
IRGC_71598,53,212
IRIS_313-10428,49,177
IRIS_313-10684,55,225
IRIS_313-10687,NA,NA
IRIS_313-10688,49,177
IRIS_313-10694,49,177
IRIS_313-10695,49,177
IRIS_313-10697,49,177
IRIS_313-10698,49,177
IRIS_313-10699,49,177
IRIS_313-10700,49,177
IRIS_313-10701,49,177
IRIS_313-10702,49,177
IRIS_313-10703,49,177
IRIS_313-10704,55,207
IRIS_313-10705,49,177
IRIS_313-10706,49,177
IRIS_313-10707,49,177
IRIS_313-11328,49,150
IRIS_313-11329,50,204
IRIS_313-11848,50,259
IRIS_313-11849,49,177
IRIS_313-11850,49,177
IRIS_313-12005,49,177
IRIS_313-12006,49,177
IRIS_313-12030,49,177
IRIS_313-12070,51,225
IRIS_313-12108,48,222
IRIS_313-12135,48,222
IRIS_313-12285,49,177
IRIS_313-8279,53,230
IRIS_313-8312,52,314
IRIS_313-8316,49,177
IRIS_313-8407,49,177
IRIS_313-8439,49,177
IRIS_313-8468,49,177
IRIS_313-8492,52,262
IRIS_313-8557,49,177
IRIS_313-8591,49,177
IRIS_313-8626,50,204
IRIS_313-8723,49,177
IRIS_313-8781,49,177
IRIS_313-8811,55,273
IRIS_313-8883,54,247
IRIS_313-8894,54,255
IRIS_313-8987,51,214
IRIS_313-9050,52,230
IRIS_313-9070,49,177
IRIS_313-9101,52,183
IRIS_313-9102,50,288
IRIS_313-9187,55,255
IRIS_313-9210,49,177
IRIS_313-9375,53,219
IRIS_313-9558,52,202
IRIS_313-9582,48,222
IRIS_313-9694,52,184
IRIS_313-9699,49,177
IRGC_33130,56,218
IRGC_33888,56,218
IRIS_313-11195,56,218
IRIS_313-11405,56,218
IRIS_313-11541,62,231
IRIS_313-11542,55,242
IRIS_313-11543,60,235
IRIS_313-11544,55,242
IRIS_313-11545,55,207
IRIS_313-11546,55,207
IRIS_313-11547,55,242
IRIS_313-11548,55,207
IRIS_313-11549,55,207
IRIS_313-11816,56,218
IRIS_313-11817,56,218
IRIS_313-11818,56,218
IRIS_313-11819,56,218
IRIS_313-11820,56,218
IRIS_313-11993,63,235
IRIS_313-12050,60,177
IRIS_313-12074,63,235
IRIS_313-12266,55,224
IRIS_313-12268,55,219
IRIS_313-12269,53,226
IRIS_313-12270,55,219
IRIS_313-12286,NA,NA
IRIS_313-12287,NA,NA
IRIS_313-12288,NA,NA
IRIS_313-12289,57,120
IRIS_313-12290,54,201
IRIS_313-12291,59,178
IRIS_313-12292,NA,NA
IRIS_313-12296,55,231
IRIS_313-8659,55,207
IRIS_313-8751,65,295
IRIS_313-8793,55,242
IRIS_313-9182,56,218
IRGC_61953,58,243
IRIS_313-10007,64,154
IRIS_313-10924,58,243
IRIS_313-10925,58,243
IRIS_313-10926,58,243
IRIS_313-10927,58,243
IRIS_313-11561,60,153
IRIS_313-11563,67,166
IRIS_313-11564,64,165
IRIS_313-11565,66,146
IRIS_313-11566,54,150
IRIS_313-11567,66,162
IRIS_313-11568,NA,NA
IRIS_313-11624,55,214
IRIS_313-11625,55,214
IRIS_313-11626,58,245
IRIS_313-11627,57,239
IRIS_313-11629,58,208
IRIS_313-11630,59,256
IRIS_313-11632,55,194
IRIS_313-11671,66,167
IRIS_313-11672,67,284
IRIS_313-11943,58,243
IRIS_313-11944,58,243
IRIS_313-12093,58,243
IRIS_313-12139,57,238
IRIS_313-12180,59,228
IRIS_313-12182,57,175
IRIS_313-12183,66,274
IRIS_313-7933,NA,NA
IRIS_313-9698,59,204
IRGC_27798,77,200
IRGC_27819,77,200
IRGC_27869,77,200
IRGC_28134,77,200
IRGC_38698,69,209
IRGC_67019,86,160
IRGC_73118,78,199
IRGC_73124,83,164
IRGC_73126,83,164
IRIS_313-11020,77,200
IRIS_313-11021,77,200
IRIS_313-11022,77,200
IRIS_313-11023,77,200
IRIS_313-11024,77,200
IRIS_313-11025,77,200
IRIS_313-11026,77,200
IRIS_313-11027,77,200
IRIS_313-11028,81,160
IRIS_313-11029,77,200
IRIS_313-11030,77,200
IRIS_313-11031,77,200
IRIS_313-11032,77,200
IRIS_313-11033,81,163
IRIS_313-11034,77,200
IRIS_313-11035,81,163
IRIS_313-11036,77,200
IRIS_313-11037,77,200
IRIS_313-11829,74,180
IRIS_313-11888,79,170
IRIS_313-11889,81,148
IRIS_313-8390,77,200
IRIS_313-8398,77,200
IRIS_313-9283,83,164
IRIS_313-9449,80,176
IRIS_313-9601,80,173
IRIS_313-9695,78,199
IRGC_121705,56,210
IRGC_23364,61,258
IRGC_26872,56,191
IRGC_328,55,212
IRGC_3849,56,210
IRGC_4020,56,210
IRGC_44455,59,227
IRGC_44513,56,217
IRGC_44600,64,280
IRGC_5423,56,210
IRGC_55418,54,258
IRGC_67428,56,210
IRGC_67429,63,270
IRGC_67431,56,210
IRGC_74606,56,215
IRGC_8182,56,210
IRGC_8244,56,210
IRGC_8245,56,210
IRGC_9804,56,210
IRIS_313-10433,56,210
IRIS_313-10489,56,210
IRIS_313-10510,56,210
IRIS_313-10511,56,210
IRIS_313-10514,56,210
IRIS_313-10577,52,246
IRIS_313-10578,56,217
IRIS_313-10580,56,217
IRIS_313-10581,52,172
IRIS_313-10582,54,264
IRIS_313-10644,57,196
IRIS_313-10645,57,196
IRIS_313-10827,55,202
IRIS_313-10828,55,212
IRIS_313-10829,55,212
IRIS_313-10830,56,220
IRIS_313-10831,55,212
IRIS_313-10832,55,212
IRIS_313-10917,54,216
IRIS_313-10918,54,216
IRIS_313-10919,54,216
IRIS_313-10920,54,216
IRIS_313-10931,54,212
IRIS_313-10990,55,213
IRIS_313-10991,NA,NA
IRIS_313-10992,56,295
IRIS_313-10993,53,248
IRIS_313-10994,53,248
IRIS_313-11097,NA,NA
IRIS_313-11196,62,271
IRIS_313-11234,64,316
IRIS_313-11330,55,214
IRIS_313-11331,64,310
IRIS_313-11334,64,310
IRIS_313-11335,58,192
IRIS_313-11336,61,212
IRIS_313-11337,53,165
IRIS_313-11338,54,199
IRIS_313-11339,56,210
IRIS_313-11340,61,191
IRIS_313-11341,64,310
IRIS_313-11342,53,251
IRIS_313-11343,66,288
IRIS_313-11344,63,347
IRIS_313-11345,64,310
IRIS_313-11346,55,268
IRIS_313-11347,NA,NA
IRIS_313-11377,54,217
IRIS_313-11379,57,135
IRIS_313-11380,52,195
IRIS_313-11381,55,206
IRIS_313-11424,55,203
IRIS_313-11441,54,192
IRIS_313-11463,53,208
IRIS_313-11464,50,159
IRIS_313-11465,56,295
IRIS_313-11467,56,191
IRIS_313-11471,58,187
IRIS_313-11472,54,200
IRIS_313-11473,52,215
IRIS_313-11485,NA,NA
IRIS_313-11511,53,281
IRIS_313-11512,54,258
IRIS_313-11532,56,191
IRIS_313-11673,55,202
IRIS_313-11736,59,262
IRIS_313-11788,NA,NA
IRIS_313-11851,54,216
IRIS_313-11913,55,180
IRIS_313-11928,55,212
IRIS_313-11929,55,212
IRIS_313-11934,54,232
IRIS_313-11959,55,182
IRIS_313-11994,62,220
IRIS_313-11995,62,220
IRIS_313-11996,55,218
IRIS_313-12051,56,210
IRIS_313-12066,56,210
IRIS_313-12067,56,210
IRIS_313-12073,62,220
IRIS_313-12080,56,210
IRIS_313-12081,56,210
IRIS_313-12244,NA,NA
IRIS_313-12271,54,174
IRIS_313-12272,53,201
IRIS_313-8292,56,210
IRIS_313-8356,55,182
IRIS_313-8383,56,210
IRIS_313-8431,55,203
IRIS_313-8567,61,295
IRIS_313-8594,56,215
IRIS_313-8948,57,228
IRIS_313-9389,NA,NA
IRIS_313-9423,63,270
IRIS_313-9505,56,210
IRIS_313-9616,59,262
IRIS_313-9897,NA,NA
IRIS_313-9928,55,276
IRIS_313-9929,57,200
IRGC_117276,58,158
IRIS_313-10065,58,158
IRIS_313-10067,58,158
IRIS_313-10092,56,178
IRIS_313-10093,56,216
IRIS_313-10094,55,187
IRIS_313-10096,64,167
IRIS_313-10097,56,216
IRIS_313-10124,NA,NA
IRIS_313-10837,58,158
IRIS_313-10838,58,158
IRIS_313-10839,58,158
IRIS_313-10840,58,158
IRIS_313-11973,60,170
IRIS_313-12217,58,158
IRIS_313-9379,58,158
IRIS_313-9886,58,158
IRIS_313-9887,58,158
IRIS_313-9890,58,158
IRIS_313-9891,58,158
IRIS_313-9974,58,158
IRIS_313-9976,58,158
IRGC_47383,NA,NA
IRGC_51064,58,180
IRGC_8952,NA,NA
IRIS_313-10020,52,203
IRIS_313-10298,57,185
IRIS_313-10609,NA,NA
IRIS_313-10610,54,155
IRIS_313-10661,51,159
IRIS_313-10662,NA,NA
IRIS_313-10715,NA,NA
IRIS_313-10716,NA,NA
IRIS_313-10717,63,269
IRIS_313-10718,NA,NA
IRIS_313-10719,NA,NA
IRIS_313-10720,58,198
IRIS_313-10721,58,198
IRIS_313-10722,53,300
IRIS_313-11110,NA,NA
IRIS_313-11191,NA,NA
IRIS_313-11382,NA,NA
IRIS_313-11741,53,246
IRIS_313-11916,53,263
IRIS_313-8244,54,155
IRIS_313-8342,52,214
IRIS_313-8699,58,169
IRIS_313-8783,NA,NA
IRIS_313-8925,53,300
IRIS_313-8968,NA,NA
IRIS_313-9039,NA,NA
IRIS_313-9256,NA,NA
IRIS_313-9636,NA,NA
IRIS_313-9809,63,269
IRIS_313-9831,NA,NA
IRIS_313-9832,NA,NA
IRIS_313-9861,63,269
IRIS_313-9862,63,269
IRIS_313-9867,NA,NA
IRIS_313-9917,57,185
IRIS_313-9949,52,139
IRIS_313-9968,58,221
IRIS_313-9969,NA,NA
IRIS_313-9970,NA,NA
IRGC_10430,53,216
IRGC_117279,53,216
IRGC_42576,53,216
IRGC_5508,53,216
IRGC_65293,53,216
IRGC_8196,53,216
IRGC_8238,53,216
IRGC_8242,53,216
IRGC_8267,53,216
IRGC_8268,53,216
IRGC_8269,53,216
IRIS_313-10429,53,216
IRIS_313-10515,53,216
IRIS_313-10631,53,216
IRIS_313-11692,53,216
IRIS_313-11693,53,216
IRIS_313-11694,53,216
IRIS_313-11695,53,216
IRIS_313-11698,53,216
IRIS_313-11981,53,216
IRIS_313-8743,53,216
IRIS_313-9701,53,216
IRIS_313-9702,53,216
IRIS_313-9758,53,216
IRGC_24224,57,190
IRGC_27716,NA,NA
IRGC_27748,54,248
IRGC_27762,57,190
IRGC_30238,57,190
IRGC_40673,62,206
IRGC_78253,60,226
IRGC_78257,52,181
IRGC_78267,55,166
IRIS_313-10134,57,190
IRIS_313-10176,56,175
IRIS_313-10650,53,144
IRIS_313-10757,57,190
IRIS_313-10923,57,190
IRIS_313-10928,57,190
IRIS_313-11248,57,190
IRIS_313-11327,56,149
IRIS_313-11386,57,190
IRIS_313-11387,57,190
IRIS_313-11388,56,174
IRIS_313-11389,NA,NA
IRIS_313-11390,NA,NA
IRIS_313-11391,NA,NA
IRIS_313-11392,NA,NA
IRIS_313-11393,NA,NA
IRIS_313-11508,58,254
IRIS_313-11509,57,190
IRIS_313-11530,57,190
IRIS_313-11534,52,194
IRIS_313-11535,52,160
IRIS_313-11608,51,192
IRIS_313-11609,57,190
IRIS_313-11610,51,192
IRIS_313-11611,53,128
IRIS_313-11635,64,157
IRIS_313-11674,NA,NA
IRIS_313-11676,57,117
IRIS_313-11677,59,196
IRIS_313-11678,59,186
IRIS_313-11679,62,206
IRIS_313-11680,NA,NA
IRIS_313-11681,62,206
IRIS_313-11682,59,186
IRIS_313-11683,NA,NA
IRIS_313-11684,NA,NA
IRIS_313-11685,59,196
IRIS_313-11686,57,190
IRIS_313-11687,62,160
IRIS_313-11688,52,197
IRIS_313-11700,NA,NA
IRIS_313-11704,NA,NA
IRIS_313-11705,NA,NA
IRIS_313-11706,56,220
IRIS_313-11707,NA,NA
IRIS_313-11708,NA,NA
IRIS_313-11709,58,112
IRIS_313-11710,NA,NA
IRIS_313-11711,51,132
IRIS_313-11719,57,190
IRIS_313-11720,57,190
IRIS_313-11721,57,190
IRIS_313-11831,57,190
IRIS_313-11832,NA,NA
IRIS_313-11833,52,170
IRIS_313-11834,NA,NA
IRIS_313-11835,NA,NA
IRIS_313-11836,57,194
IRIS_313-11837,57,150
IRIS_313-11838,NA,NA
IRIS_313-11839,NA,NA
IRIS_313-11840,52,170
IRIS_313-11841,57,194
IRIS_313-11842,NA,NA
IRIS_313-11843,59,181
IRIS_313-11844,NA,NA
IRIS_313-11845,60,209
IRIS_313-11846,NA,NA
IRIS_313-11897,57,190
IRIS_313-11920,57,150
IRIS_313-11921,52,197
IRIS_313-11922,NA,NA
IRIS_313-11923,62,253
IRIS_313-11924,NA,NA
IRIS_313-11925,54,195
IRIS_313-11926,NA,NA
IRIS_313-11927,56,194
IRIS_313-11957,57,190
IRIS_313-11958,57,190
IRIS_313-11961,54,138
IRIS_313-11962,56,220
IRIS_313-8466,54,179
IRIS_313-8474,56,158
IRIS_313-8485,56,149
IRIS_313-8565,56,189
IRIS_313-8580,57,190
IRIS_313-8586,NA,NA
IRIS_313-8599,57,190
IRIS_313-8674,NA,NA
IRIS_313-8679,NA,NA
IRIS_313-8702,52,197
IRIS_313-8722,57,82
IRIS_313-8732,57,190
IRIS_313-8785,NA,NA
IRIS_313-8870,58,112
IRIS_313-8872,57,184
IRIS_313-8884,NA,NA
IRIS_313-8911,57,190
IRIS_313-8980,57,82
IRIS_313-9006,NA,NA
IRIS_313-9019,59,130
IRIS_313-9020,63,260
IRIS_313-9032,57,190
IRIS_313-9062,NA,NA
IRIS_313-9112,57,190
IRIS_313-9115,57,190
IRIS_313-9116,57,190
IRIS_313-9119,57,190
IRIS_313-9121,NA,NA
IRIS_313-9123,NA,NA
IRIS_313-9209,60,152
IRIS_313-9281,52,166
IRIS_313-9288,NA,NA
IRIS_313-9302,57,190
IRIS_313-9357,57,190
IRIS_313-9406,52,181
IRIS_313-9415,52,197
IRIS_313-9451,57,190
IRIS_313-9567,57,190
IRIS_313-9575,NA,NA
IRIS_313-9600,56,194
IRIS_313-9669,56,160
IRIS_313-9697,52,166
IRGC_16800,56,223
IRGC_16872,56,223
IRGC_40748,61,209
IRGC_56036,NA,NA
IRGC_8227,56,223
IRGC_8228,56,223
IRGC_8231,56,223
IRGC_8234,56,223
IRIS_313-10554,56,223
IRIS_313-10555,56,223
IRIS_313-10556,56,223
IRIS_313-10748,56,223
IRIS_313-10749,56,223
IRIS_313-10750,56,223
IRIS_313-10751,56,223
IRIS_313-10755,56,223
IRIS_313-10970,56,223
IRIS_313-11118,56,223
IRIS_313-11119,56,223
IRIS_313-11383,56,223
IRIS_313-11384,56,223
IRIS_313-11521,56,223
IRIS_313-11594,56,223
IRIS_313-11893,56,163
IRIS_313-11894,55,176
IRIS_313-11895,56,223
IRIS_313-11896,56,223
IRIS_313-11984,55,199
IRIS_313-12078,56,223
IRIS_313-12210,53,203
IRIS_313-8341,56,223
IRIS_313-8409,56,223
IRIS_313-8578,52,231
IRIS_313-8735,55,191
IRIS_313-9131,56,223
IRIS_313-9317,58,199
IRIS_313-9429,56,223
IRIS_313-9637,56,223